,title_generation,eval_rougeL
xlingual_repeat_first_sentences,9.419,51.9704
xlingual_repeat_last_sentences,8.4357,51.2936
xlingual,0.6920806359570153,0.4644978459464458
xlingual_stopword,0.8038399191104877,0.12108868191903309
xlingual_delete_5,2.3790626870448133,0.4314724891448921
xlingual_delete_10,0.12719240892792655,0.4986665574866192
xlingual_insert_5,2.3660377234712233,0.3584575877593089
xlingual_insert_10,1.0377325806241653,0.5225121008699734
xlingual_replace_5,0.8851135783992168,0.9365500390024862
xlingual_replace_10,1.8725392884173802,0.1928618907116922
xlingual_repeat_sentences,0.7272717709968464,0.4705229076959649
xlingual_shuffle_sentences,1.838669792721539,0.5869939825548082
